"Year","Status","Count"
2000,"Developed",32
2000,"Developing",151
2001,"Developed",32
2001,"Developing",151
2002,"Developed",32
2002,"Developing",151
2003,"Developed",32
2003,"Developing",151
2004,"Developed",32
2004,"Developing",151
2005,"Developed",32
2005,"Developing",151
2006,"Developed",32
2006,"Developing",151
2007,"Developed",32
2007,"Developing",151
2008,"Developed",32
2008,"Developing",151
2009,"Developed",32
2009,"Developing",151
2010,"Developed",32
2010,"Developing",151
2011,"Developed",32
2011,"Developing",151
2012,"Developed",32
2012,"Developing",151
2013,"Developed",32
2013,"Developing",161
2014,"Developed",32
2014,"Developing",151
2015,"Developed",32
2015,"Developing",151
