Country,Num_YouTubers,Population,Percentage_youtubers
Afghanistan,1,38041754,2.63E-06
Andorra,1,NA,NA
Argentina,13,44938712,2.89E-05
Australia,9,25766605,3.49E-05
Bangladesh,1,167310838,5.98E-07
Barbados,1,287025,0.000348402
Brazil,62,212559417,2.92E-05
Canada,15,36991981,4.05E-05
Chile,3,18952038,1.58E-05
China,1,1397715000,7.15E-08
Colombia,11,50339443,2.19E-05
Cuba,1,11333483,8.82E-06
Ecuador,2,17373662,1.15E-05
Egypt,2,100388073,1.99E-06
El Salvador,1,6453553,1.55E-05
Finland,1,5520314,1.81E-05
France,5,67059887,7.46E-06
Germany,6,83132799,7.22E-06
India,168,1366417754,1.23E-05
Indonesia,28,270203917,1.04E-05
Iraq,2,39309783,5.09E-06
Italy,2,60297396,3.32E-06
Japan,5,126226568,3.96E-06
Jordan,3,10101694,2.97E-05
Kuwait,1,4207083,2.38E-05
Latvia,1,1912789,5.23E-05
Malaysia,1,32447385,3.08E-06
Mexico,33,126014024,2.62E-05
Morocco,1,36910560,2.71E-06
Netherlands,3,17332850,1.73E-05
Pakistan,6,216565318,2.77E-06
Peru,1,32510453,3.08E-06
Philippines,12,108116615,1.11E-05
Russia,16,144373535,1.11E-05
Samoa,1,202506,0.000493813
Saudi Arabia,9,34268528,2.63E-05
Singapore,3,5703569,5.26E-05
South Korea,17,51709098,3.29E-05
Spain,22,47076781,4.67E-05
Sweden,4,10285453,3.89E-05
Switzerland,1,8574832,1.17E-05
Thailand,18,69625582,2.59E-05
Turkey,4,83429615,4.79E-06
Ukraine,8,44385155,1.80E-05
United Arab Emirates,7,9770529,7.16E-05
United Kingdom,43,66834405,6.43E-05
United States of America,313,328239523,9.54E-05
Venezuela,1,28515829,3.51E-06
Vietnam,3,96462106,3.11E-06
